Time,proton_density,numden_p_uncer,proton_bulk_speed,bulk_p_uncer,proton_xvelocity,proton_yvelocity,proton_zvelocity,proton_thermal,thermal_p_uncer,alpha_density,numden_a_uncer,alpha_bulk_speed,bulk_a_uncer,alpha_thermal,thermal_a_uncer,spacecraft_xpos,spacecraft_ypos,spacecraft_zpos
63919522737838.0,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,27.438112658851857,-60.27946673182207,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1286536.6883521453,442709.8102058417,-74516.19488090422
63919522742838.0,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,26.933626356830995,-66.2845999786868,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1286536.8486830282,442710.83993260056,-74516.01421162381
63919522747838.0,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,25.23173158431975,-63.5649885661064,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1286537.0090087443,442711.86961629277,-74515.83354916103
63919522752839.0,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,21.8370372937648,-58.57553633797666,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1286537.1693390745,442712.8993186712,-74515.65288269799
63919522757839.0,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,20.58945184023164,-61.111659695813074,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1286537.3296674273,442713.9289986772,-74515.47221938492
63919522762839.0,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,19.45814740933806,-59.11634663257805,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1286537.4899971315,442714.95867655484,-74515.29155566962
63919522767839.0,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,25.186473443321184,-60.7591319555145,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1286537.650331381,442715.98837352975,-74515.11088794639
63919522772839.0,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,23.404324505655012,-60.134356236372824,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1286537.8106668955,442717.0180687563,-74514.93021974585
63919522777839.0,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,20.79202001016722,-62.78895764664777,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1286537.9710005508,442718.0477414032,-74514.74955479079
63919522782839.0,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,17.742383351370584,-53.73857690396581,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1286538.1313355044,442719.0774119886,-74514.56888937758
63919522787839.0,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,14.358943669343434,-51.72662867925827,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1286538.2916717776,442720.1070803165,-74514.38822363358
63919522792839.0,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,22.414221443874343,-58.03434491909858,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1286538.452012598,442721.13676656917,-74514.20755378669
63919522797839.0,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,17.50779203638963,-52.060238101897845,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1286538.6123514432,442722.166431042,-74514.02688713378
63919522802839.0,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,11.85299703128533,-48.892117787558554,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1286538.7726949095,442723.19611461466,-74513.84621647018
63919522807839.0,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,24.04336093525557,-62.36837263408719,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1286538.9330364647,442724.2257760801,-74513.6655490023
63919522812839.0,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,20.537594467889328,-60.93807428198807,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1286539.0933824934,442725.25545647275,-74513.48487750621
63919522817839.0,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,21.859695033982767,-60.8198483636391,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1286539.2537298338,442726.2851350644,-74513.30420559138
63919522822839.0,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,29.552927985069832,-63.23347104998212,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1286539.414072095,442727.3147702281,-74513.12354048743
63919522827839.0,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,25.746990696564964,-68.50486684624552,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1286539.5744253192,442728.3444655502,-74512.9428641111
63919522832839.0,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,20.21960929257139,-67.60009258275502,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1286539.7347734128,442729.374117855,-74512.76219454448
63919522837839.0,3.045356675593161,-1e+31,463.93945257301107,-1e+31,-463.93945257301107,28.63223331142997,-70.15342610908407,82.4555331989147,-1e+31,0.031318733492283785,-1e+31,469.69815551423466,-1e+31,96.59126669617538,-1e+31,1286539.895126033,442730.4037889076,-74512.58152096462
63919522842839.0,2.6658463172337385,-1e+31,470.8451504088437,-1e+31,-470.8451504088437,34.25269647868739,-76.90119023666867,81.70606234497532,-1e+31,0.03352034796760239,-1e+31,464.0893271698024,-1e+31,105.81030473208179,-1e+31,1286540.0554735316,442731.43341694755,-74512.40085421427
63919522847839.0,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,14.738540910170205,-67.6778775968883,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1286540.2158287778,442732.4630843336,-74512.2201797851
63919522852839.0,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,22.808885047812332,-69.10572402692597,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1286540.3761821608,442733.4927292521,-74512.03950858349
63919522857839.0,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,22.88259441627784,-67.35714964452156,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1286540.5365432615,442734.52241345897,-74511.85882971581
63919522862839.0,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,19.4140742648836,-63.533985851303036,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1286540.6968927972,442735.55201354704,-74511.67816487228
63919522867839.0,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,22.34308274768688,-69.40740701564808,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1286540.8572565054,442736.58169410203,-74511.49748516979
63919522872839.0,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,23.961196102938978,-64.98085506242785,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1286541.0176151346,442737.611331658,-74511.31681229593
63919522877840.0,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,20.72227655634694,-64.56007195085499,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1286541.1779782656,442738.6409879689,-74511.1361353643
63919522882840.0,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,20.837179188208303,-62.95994135398932,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,1286541.3383362147,442739.6706012053,-74510.95546521537
